titulo,marca,linea,modelo,precio,condicion,envio,opiniones,cant_disponible,vendedor_url,tipo_vendedor,ventas_vendedor
"Macbook Air 13.6'' Procesador Apple M2 (8gb Ram, 256gb Ssd)",,,,,Nuevo | +5 vendidos,Envío gratis,4.8,,https://perfil.mercadolibre.com.pe/TIENDA-APPLE-AMAZE,,
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd) Color Gris espacial - Distribuidor autorizado",Apple,MacBook Air,A2337,,Nuevo | +500 vendidos,Envío gratis,5.0,(31 disponibles),https://perfil.mercadolibre.com.pe/TIENDA-APPLE-AMAZE,MercadoLíder Gold,+5mil
Laptop Hp Core I3 12va Gen 8gb+512gb 15.6 Hp 250 G9 Color Gris,HP,250 G9,7C6E5LA 250 G9,1.699,Nuevo | 1 vendido,Envío gratis,,(9 disponibles),https://perfil.mercadolibre.com.pe/REMIXATAVILLOSRIVERA,,
"Asus Tuf A15 Ryzen 7 6800h 16gb Ddr5, 512ssd Rtx3050ti 4gb",,,,,Nuevo | +5 vendidos,Envío gratis,5.0,(4 disponibles),https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU,,
Laptop Hp 240 G8 14 Pulgadas Intel Core I5 8gb Ddr4 1tb /vc,HP,Laptop,240 G8,2.064,Nuevo | +5 vendidos,Envío gratis,,,https://perfil.mercadolibre.com.pe/UNIK_STORE_PERU,,
Macbook Pro 16 (2023) Chip M2 Pro Apple Ssd 512gb / 16gb Ram,,,,,Nuevo | +5 vendidos,Envío gratis,5.0,,https://perfil.mercadolibre.com.pe/CASESWORLD.STORE?brandId=971,,
"Laptop Lenovo V15 G3 15.6, I5-1235u Ram 16gb 1tb + 256gb Ssd Color Gris Hierro",,,,2.190,Nuevo | +5 vendidos,Envío gratis,,(6 disponibles),https://perfil.mercadolibre.com.pe/PC-YA+EMPRESARIAL?brandId=641,MercadoLíder Gold,+1000
Macbook Pro 16 (2023) Chip M2 Pro Apple Ssd 1tb / 16gb Ram,,,,,Nuevo | +5 vendidos,Envío gratis,5.0,(2 disponibles),https://perfil.mercadolibre.com.pe/CASESWORLD.STORE?brandId=971,,
"Laptop HP Victus 15-FA0031DX negra Intel Core i5 12450H 8GB de RAM 512GB SSD, NVIDIA GeForce GTX 1650 1920x1080px Windows 11 Home",,,,3.799,Nuevo | 4 vendidos,Envío gratis,,(9 disponibles),https://perfil.mercadolibre.com.pe/PCGLOBALPERU,,
Laptop Lenovo V15 15.6'' Fhd Ci7-1165g7 16gb 1tb+256ssd W11,,,,,Nuevo | +5 vendidos,Envío gratis,5.0,(2 disponibles),https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU,,
Laptop Lenovo Thinkpad T14 Core I5 E-nucleos 14 8 Gb 256 Ss,,,,,Nuevo | +5 vendidos,Envío gratis,,(3 disponibles),https://perfil.mercadolibre.com.pe/LENOVO+OFICIAL?brandId=507,,
Lenovo Ideapad 3i 15' Ci5-10300h 16gb 1tb+500ssd Gtx1650 4gb,,,,,Nuevo | +5 vendidos,Envío gratis,4.9,(10 disponibles),https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU,,
Asus Rog G16 -2023 Core I7 13650hx 32ddr5 1tbssd Rtx4060 16',,,,,Nuevo | +5 vendidos,Envío gratis,5.0,(3 disponibles),https://perfil.mercadolibre.com.pe/LAPTOPSHOP+OFICIAL?brandId=866,,
Laptop Lenovo Ideapad Flex 5 Ryzen 7 8nucleos 16gb 1tb Ssd 1,,,,,Nuevo | +5 vendidos,Envío gratis,,(6 disponibles),https://perfil.mercadolibre.com.pe/LENOVO+OFICIAL?brandId=507,,
Laptop Lenovo Idapad Slim 3 15 Amd Ryzen 5 8gb 512 Ssd Fhd,,,,,Nuevo | +5 vendidos,Envío gratis,,(4 disponibles),https://perfil.mercadolibre.com.pe/LENOVO+OFICIAL?brandId=507,,
Asus Tuf A15 F15 144hz Core-i5 16gb 1tb+512ssd Gtx1650 4gb,,,,,Nuevo | +5 vendidos,Envío gratis,5.0,,https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU,,
"Laptop Lenovo V15 G2 15.6' Fhd Core-i7, 16gb, 1tb+512ssd W11",,,,,Nuevo | +5 vendidos,Envío gratis,,(2 disponibles),https://perfil.mercadolibre.com.pe/FB.MOVILSTORE+PERU,,
Laptop Asus Intel Core I5 1135g7 8gb 512gb Ssd Nvidia Mx330,,,,,Nuevo | +50 vendidos,Envío gratis,,(30 disponibles),https://perfil.mercadolibre.com.pe/TIENDAS+EFE?brandId=192,,
Asus Rog Strix Core I9-13va 16gb 1tb Ssd 8gb Rtx4070 2023,,,,,Nuevo | 2 vendidos,Envío gratis,,(5 disponibles),https://perfil.mercadolibre.com.pe/LAPTOPSHOP+OFICIAL?brandId=866,,
Laptop Hp Pavilion Intel Core I5 8gb 256gb Win11 15-eg0500la,,,,,Nuevo | +5 vendidos,Envío gratis,,,https://perfil.mercadolibre.com.pe/IXCOMERCIOHP?brandId=56,,
